dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_random,18,0.1,6,19,0.1923458822097629
Apache,kmeans_default,19,0.1,6,19,0.19340186469294218
Apache,kmeans_hamming,19,0.1,6,19,0.19110721874232198
Apache,kmeans_random,19,0.1,6,19,0.19929510122017138
Apache,random,,0.1,7,19,0.18748940021758934
Apache,kmeans_default,5,0.1,7,19,0.1688975499070285
Apache,kmeans_hamming,5,0.1,7,19,0.15886451407898597
Apache,kmeans_random,5,0.1,7,19,0.18092771068890295
Apache,kmeans_default,6,0.1,7,19,0.1767900704578032
Apache,kmeans_hamming,6,0.1,7,19,0.2129932429674855
Apache,kmeans_random,6,0.1,7,19,0.15598525101255223
Apache,kmeans_default,7,0.1,7,19,0.2109613270296016
Apache,kmeans_hamming,7,0.1,7,19,0.15699792525950965
Apache,kmeans_random,7,0.1,7,19,0.17173383519830643
Apache,kmeans_default,8,0.1,7,19,0.37008686065312063
Apache,kmeans_hamming,8,0.1,7,19,0.2135964072298857
Apache,kmeans_random,8,0.1,7,19,0.1903025805754514
Apache,kmeans_default,9,0.1,7,19,0.15518823964331
Apache,kmeans_hamming,9,0.1,7,19,0.15382254649981045
Apache,kmeans_random,9,0.1,7,19,0.19974738789818838
Apache,kmeans_default,10,0.1,7,19,0.18588808961892028
Apache,kmeans_hamming,10,0.1,7,19,0.1798706304408968
Apache,kmeans_random,10,0.1,7,19,0.14458126963753545
Apache,kmeans_default,11,0.1,7,19,0.18962025924168718
Apache,kmeans_hamming,11,0.1,7,19,0.17121808707034647
Apache,kmeans_random,11,0.1,7,19,0.1841409296205399
Apache,kmeans_default,12,0.1,7,19,0.25640310775423936
Apache,kmeans_hamming,12,0.1,7,19,0.22332182698659828
Apache,kmeans_random,12,0.1,7,19,0.18627321370302394
Apache,kmeans_default,13,0.1,7,19,0.42128461720691207
Apache,kmeans_hamming,13,0.1,7,19,0.15639075922574852
Apache,kmeans_random,13,0.1,7,19,0.1654046133305702
Apache,kmeans_default,14,0.1,7,19,0.20104918717509865
Apache,kmeans_hamming,14,0.1,7,19,0.1878700512112933
Apache,kmeans_random,14,0.1,7,19,0.19711189028739393
Apache,kmeans_default,15,0.1,7,19,0.22105614785183017
Apache,kmeans_hamming,15,0.1,7,19,0.17443423680119638
Apache,kmeans_random,15,0.1,7,19,0.19778867117795892
Apache,kmeans_default,16,0.1,7,19,0.1947908030795684
Apache,kmeans_hamming,16,0.1,7,19,0.2226253803974931
Apache,kmeans_random,16,0.1,7,19,0.2041511453510732
Apache,kmeans_default,17,0.1,7,19,0.1769438853006002
Apache,kmeans_hamming,17,0.1,7,19,0.18337846760278678
Apache,kmeans_random,17,0.1,7,19,0.16272331811278895
Apache,kmeans_default,18,0.1,7,19,0.16684617334477758
