dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_default,20,0.6,115,0.15184893325215973,0.006684847494758313
Apache,kmeans_hamming,5,0.6,115,0.1591413771860206,0.014107571275342108
Apache,kmeans_hamming,6,0.6,115,0.1535411309879822,0.006739466729679605
Apache,kmeans_hamming,7,0.6,115,0.15700136339350804,0.008744254684950886
Apache,kmeans_hamming,8,0.6,115,0.15513919232917817,0.009828885354089122
Apache,kmeans_hamming,9,0.6,115,0.1561634582225926,0.006238088964478535
Apache,kmeans_hamming,10,0.6,115,0.1561556362887747,0.008286117394597956
Apache,kmeans_hamming,11,0.6,115,0.15399028845779877,0.0076502041687147495
Apache,kmeans_hamming,12,0.6,115,0.15691977687001907,0.008947813397989496
Apache,kmeans_hamming,13,0.6,115,0.15888804303663281,0.009559046009652215
Apache,kmeans_hamming,14,0.6,115,0.15844018274684685,0.007795531888495971
Apache,kmeans_hamming,15,0.6,115,0.15706595900334183,0.008525502601778374
Apache,kmeans_hamming,16,0.6,115,0.15676253627310643,0.009362905116509241
Apache,kmeans_hamming,17,0.6,115,0.16202380933633856,0.006651889181467717
Apache,kmeans_hamming,18,0.6,115,0.1570313857333368,0.007372476500702517
Apache,kmeans_hamming,19,0.6,115,0.15635578778823658,0.00845490820856458
Apache,kmeans_hamming,20,0.6,115,0.16092575746648047,0.006087737382750285
Apache,kmeans_random,5,0.6,115,0.1620452060091523,0.016941416553194037
Apache,kmeans_random,6,0.6,115,0.15457625297913327,0.008649601318456272
Apache,kmeans_random,7,0.6,115,0.1577038810011452,0.010724650801665606
Apache,kmeans_random,8,0.6,115,0.15847017517163747,0.011455579912591227
Apache,kmeans_random,9,0.6,115,0.15534811038185875,0.010528707592033438
Apache,kmeans_random,10,0.6,115,0.15190602936780553,0.008336315524423788
Apache,kmeans_random,11,0.6,115,0.1559602469479296,0.008206788435889652
Apache,kmeans_random,12,0.6,115,0.158016638400775,0.008782328177430986
