dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_hamming,22,0.2,38,0.162040431375122,0.011073135976842131
Apache,kmeans_hamming,23,0.2,38,0.1693642310230491,0.010555930839197073
Apache,kmeans_hamming,24,0.2,38,0.16610398613929217,0.011093926939687235
Apache,kmeans_hamming,25,0.2,38,0.16595824006614215,0.011863442680496732
Apache,kmeans_hamming,26,0.2,38,0.1696070775669997,0.013200799034646325
Apache,kmeans_hamming,27,0.2,38,0.1689610430170057,0.01130881321335765
Apache,kmeans_hamming,28,0.2,38,0.17087334199429188,0.010399568562227946
Apache,kmeans_hamming,29,0.2,38,0.1667869871076745,0.009860872814282025
Apache,kmeans_hamming,30,0.2,38,0.1738921750755192,0.012091456215643363
Apache,kmeans_hamming,31,0.2,38,0.1688671422755768,0.011555094701674106
Apache,kmeans_hamming,32,0.2,38,0.17348686439033154,0.01339010940278227
Apache,kmeans_hamming,33,0.2,38,0.17544907682058616,0.010820840381826118
Apache,kmeans_hamming,34,0.2,38,0.17076975733654426,0.013332833525692395
Apache,kmeans_hamming,35,0.2,38,0.1697547440446359,0.010894102864193133
Apache,kmeans_hamming,36,0.2,38,0.18051098024247605,0.019131382506526837
Apache,kmeans_hamming,37,0.2,38,0.1784501972733388,0.014684620438093854
Apache,kmeans_hamming,38,0.2,38,0.1811113450379029,0.01176967923798321
Apache,kmeans_random,5,0.2,38,0.1621294531334859,0.01054074073158228
Apache,kmeans_random,6,0.2,38,0.16297570743635917,0.011869572209773154
Apache,kmeans_random,7,0.2,38,0.15920316794120035,0.008889686647968274
Apache,kmeans_random,8,0.2,38,0.16568027309835318,0.013685075757434249
Apache,kmeans_random,9,0.2,38,0.15883014418648397,0.008424575056334132
Apache,kmeans_random,10,0.2,38,0.16112489108039532,0.009452166098314414
Apache,kmeans_random,11,0.2,38,0.1608645427903651,0.010175877257545301
Apache,kmeans_random,12,0.2,38,0.15761642516091415,0.0063597984766366085
Apache,kmeans_random,13,0.2,38,0.1617121822390715,0.011350580363286568
Apache,kmeans_random,14,0.2,38,0.1621125683269943,0.009531366874549767
Apache,kmeans_random,15,0.2,38,0.16016975350810705,0.007562318047279496
Apache,kmeans_random,16,0.2,38,0.15938243777003613,0.010682408607210175
Apache,kmeans_random,17,0.2,38,0.1620609801404637,0.007733924686367707
Apache,kmeans_random,18,0.2,38,0.16040432287149728,0.009700887206609178
