dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_hamming,25,0.3,4,58,0.1539938121393813
Apache,kmeans_random,25,0.3,4,58,0.1531569789611522
Apache,kmeans_default,26,0.3,4,58,0.1603349843105357
Apache,kmeans_hamming,26,0.3,4,58,0.16499503308636854
Apache,kmeans_random,26,0.3,4,58,0.15490253450989125
Apache,kmeans_default,27,0.3,4,58,0.15552889109134252
Apache,kmeans_hamming,27,0.3,4,58,0.16209146884253756
Apache,kmeans_random,27,0.3,4,58,0.15925835865779936
Apache,kmeans_default,28,0.3,4,58,0.15999582519313194
Apache,kmeans_hamming,28,0.3,4,58,0.15899149033141044
Apache,kmeans_random,28,0.3,4,58,0.14880684697535743
Apache,kmeans_default,29,0.3,4,58,0.15833052787175636
Apache,kmeans_hamming,29,0.3,4,58,0.15737796199473397
Apache,kmeans_random,29,0.3,4,58,0.16268045552647167
Apache,kmeans_default,30,0.3,4,58,0.16008847246264213
Apache,kmeans_hamming,30,0.3,4,58,0.17063516796191475
Apache,kmeans_random,30,0.3,4,58,0.1574217348931842
Apache,kmeans_default,31,0.3,4,58,0.15168727259533146
Apache,kmeans_hamming,31,0.3,4,58,0.16215406748386432
Apache,kmeans_random,31,0.3,4,58,0.15072291290746806
Apache,kmeans_default,32,0.3,4,58,0.1646540318584608
Apache,kmeans_hamming,32,0.3,4,58,0.1652971077315664
Apache,kmeans_random,32,0.3,4,58,0.17259004384939794
Apache,kmeans_default,33,0.3,4,58,0.15652694034504652
Apache,kmeans_hamming,33,0.3,4,58,0.16576388458414365
Apache,kmeans_random,33,0.3,4,58,0.16714022011538157
Apache,kmeans_default,34,0.3,4,58,0.15471410698603386
Apache,kmeans_hamming,34,0.3,4,58,0.15057368812084745
Apache,kmeans_random,34,0.3,4,58,0.15952129380371785
Apache,kmeans_default,35,0.3,4,58,0.15063792814817142
Apache,kmeans_hamming,35,0.3,4,58,0.1605518267024425
Apache,kmeans_random,35,0.3,4,58,0.16781830938912248
Apache,kmeans_default,36,0.3,4,58,0.14421478899297216
Apache,kmeans_hamming,36,0.3,4,58,0.15471037866343987
Apache,kmeans_random,36,0.3,4,58,0.16261367361292925
Apache,kmeans_default,37,0.3,4,58,0.14958227114666936
Apache,kmeans_hamming,37,0.3,4,58,0.17011761947719517
Apache,kmeans_random,37,0.3,4,58,0.14424937902092308
Apache,kmeans_default,38,0.3,4,58,0.14863503592396626
Apache,kmeans_hamming,38,0.3,4,58,0.19899413012270134
Apache,kmeans_random,38,0.3,4,58,0.14613740966897315
Apache,kmeans_default,39,0.3,4,58,0.1610002260703104
Apache,kmeans_hamming,39,0.3,4,58,0.17892594021331407
Apache,kmeans_random,39,0.3,4,58,0.1544625265058556
Apache,kmeans_default,40,0.3,4,58,0.14791639842898535
Apache,kmeans_hamming,40,0.3,4,58,0.15390990117375666
Apache,kmeans_random,40,0.3,4,58,0.17395523288211157
Apache,kmeans_default,41,0.3,4,58,0.15455715350558774
Apache,kmeans_hamming,41,0.3,4,58,0.179289633060421
Apache,kmeans_random,41,0.3,4,58,0.1459406064635975
Apache,kmeans_default,42,0.3,4,58,0.1558217901067656
Apache,kmeans_hamming,42,0.3,4,58,0.16241680219562069
Apache,kmeans_random,42,0.3,4,58,0.14483277474932008
Apache,kmeans_default,43,0.3,4,58,0.15104677090682309
Apache,kmeans_hamming,43,0.3,4,58,0.1683637725011805
Apache,kmeans_random,43,0.3,4,58,0.1497581460787297
Apache,kmeans_default,44,0.3,4,58,0.15443996744295388
Apache,kmeans_hamming,44,0.3,4,58,0.1825795080056165
Apache,kmeans_random,44,0.3,4,58,0.15696935615184
Apache,kmeans_default,45,0.3,4,58,0.14083813161159592
Apache,kmeans_hamming,45,0.3,4,58,0.15923442673723745
Apache,kmeans_random,45,0.3,4,58,0.1562238818737786
Apache,kmeans_default,46,0.3,4,58,0.1570478203559357
Apache,kmeans_hamming,46,0.3,4,58,0.16330410724478447
